speaker	direction	readout	query_system	query_text_index	query_prompt_mic	query_seed_arm	query_clone_sha256	candidate_system	candidate_text_index	candidate_prompt_mic	own_seed_arm	own_clone_sha256	other_seed_arm	other_clone_sha256	cos_own_event	cos_other_event
p229	primary_mic1_to_mic2	ecapa	f5	0	mic1	A	007bc37a3f7e6646	xtts	1	mic2	A	166915ebef4389f1	B	45e4808e13bf7c52	0.38538900123507452	0.3624094217883142
p229	primary_mic1_to_mic2	wavlm	f5	0	mic1	A	007bc37a3f7e6646	xtts	1	mic2	A	166915ebef4389f1	B	45e4808e13bf7c52	0.86644655031173279	0.89566592741746653
p229	primary_mic1_to_mic2	ecapa	f5	0	mic1	A	007bc37a3f7e6646	xtts	2	mic2	A	89f941d71670a0db	B	3ed103c30742e5c2	0.63178417970232481	0.44277364414069131
p229	primary_mic1_to_mic2	wavlm	f5	0	mic1	A	007bc37a3f7e6646	xtts	2	mic2	A	89f941d71670a0db	B	3ed103c30742e5c2	0.96252944769164173	0.81499021328368393
p229	primary_mic1_to_mic2	ecapa	f5	0	mic1	A	007bc37a3f7e6646	xtts	3	mic2	A	d804da92b03cdc3d	B	076bbd95034dbed0	0.45548183420075816	0.35112848463664603
p229	primary_mic1_to_mic2	wavlm	f5	0	mic1	A	007bc37a3f7e6646	xtts	3	mic2	A	d804da92b03cdc3d	B	076bbd95034dbed0	0.86869557998229741	0.88257141000033212
p229	primary_mic1_to_mic2	ecapa	f5	0	mic1	A	007bc37a3f7e6646	cosy	1	mic2	A	29b50d1b26cbb5d8	B	6a20d0e0ce01b750	0.8043300285222208	0.70626422911093467
p229	primary_mic1_to_mic2	wavlm	f5	0	mic1	A	007bc37a3f7e6646	cosy	1	mic2	A	29b50d1b26cbb5d8	B	6a20d0e0ce01b750	0.98213538625487862	0.96066968791698659
p229	primary_mic1_to_mic2	ecapa	f5	0	mic1	A	007bc37a3f7e6646	cosy	2	mic2	A	b95d2de7be48322e	B	b04a01617a9c889a	0.77416839501505175	0.72906767222445534
p229	primary_mic1_to_mic2	wavlm	f5	0	mic1	A	007bc37a3f7e6646	cosy	2	mic2	A	b95d2de7be48322e	B	b04a01617a9c889a	0.9827751219273384	0.96901258666350765
p229	primary_mic1_to_mic2	ecapa	f5	0	mic1	A	007bc37a3f7e6646	cosy	3	mic2	A	2c927d8c1e170d1e	B	b7202c491edba90a	0.71990770006998661	0.61613587280863469
p229	primary_mic1_to_mic2	wavlm	f5	0	mic1	A	007bc37a3f7e6646	cosy	3	mic2	A	2c927d8c1e170d1e	B	b7202c491edba90a	0.96122898372853371	0.93591744825843892
p229	primary_mic1_to_mic2	ecapa	f5	0	mic1	A	007bc37a3f7e6646	seedvc	1	mic2	A	6584961eaf78dbf5	B	d96a57c7a65f385e	0.57226391464814153	0.47752241515563004
p229	primary_mic1_to_mic2	wavlm	f5	0	mic1	A	007bc37a3f7e6646	seedvc	1	mic2	A	6584961eaf78dbf5	B	d96a57c7a65f385e	0.83443824062262029	0.82857950231951816
p229	primary_mic1_to_mic2	ecapa	f5	0	mic1	A	007bc37a3f7e6646	seedvc	2	mic2	A	2231bd1964b29cd8	B	ff750a1108f05305	0.58303425685808297	0.45970525448191335
p229	primary_mic1_to_mic2	wavlm	f5	0	mic1	A	007bc37a3f7e6646	seedvc	2	mic2	A	2231bd1964b29cd8	B	ff750a1108f05305	0.85393957036186141	0.83540304044152958
p229	primary_mic1_to_mic2	ecapa	f5	0	mic1	A	007bc37a3f7e6646	seedvc	3	mic2	A	d3c51799ff137c31	B	60c7701aaa1f6914	0.62045104642398963	0.51250580173518112
p229	primary_mic1_to_mic2	wavlm	f5	0	mic1	A	007bc37a3f7e6646	seedvc	3	mic2	A	d3c51799ff137c31	B	60c7701aaa1f6914	0.88992034947660215	0.82038302120288797
p229	primary_mic1_to_mic2	ecapa	f5	1	mic1	A	2562c6b297decad2	xtts	0	mic2	A	e11d8aa71e9655f4	B	3320a415edaff01d	0.33733088509810205	0.37524850467185783
p229	primary_mic1_to_mic2	wavlm	f5	1	mic1	A	2562c6b297decad2	xtts	0	mic2	A	e11d8aa71e9655f4	B	3320a415edaff01d	0.94571246643001949	0.92637831353991751
p229	primary_mic1_to_mic2	ecapa	f5	1	mic1	A	2562c6b297decad2	xtts	2	mic2	A	89f941d71670a0db	B	3ed103c30742e5c2	0.61109208238201296	0.4352314428726195
p229	primary_mic1_to_mic2	wavlm	f5	1	mic1	A	2562c6b297decad2	xtts	2	mic2	A	89f941d71670a0db	B	3ed103c30742e5c2	0.9457269538840205	0.87411801141645773
p229	primary_mic1_to_mic2	ecapa	f5	1	mic1	A	2562c6b297decad2	xtts	3	mic2	A	d804da92b03cdc3d	B	076bbd95034dbed0	0.45878069277546152	0.33986878075494342
p229	primary_mic1_to_mic2	wavlm	f5	1	mic1	A	2562c6b297decad2	xtts	3	mic2	A	d804da92b03cdc3d	B	076bbd95034dbed0	0.93619853226958949	0.92264013976956538
p229	primary_mic1_to_mic2	ecapa	f5	1	mic1	A	2562c6b297decad2	cosy	0	mic2	A	6391a59b919030ef	B	af11134d69bf78ff	0.70313604491018955	0.65702960885041117
p229	primary_mic1_to_mic2	wavlm	f5	1	mic1	A	2562c6b297decad2	cosy	0	mic2	A	6391a59b919030ef	B	af11134d69bf78ff	0.96515585197248432	0.95584094360762328
p229	primary_mic1_to_mic2	ecapa	f5	1	mic1	A	2562c6b297decad2	cosy	2	mic2	A	b95d2de7be48322e	B	b04a01617a9c889a	0.70739107092503262	0.70177341773405733
p229	primary_mic1_to_mic2	wavlm	f5	1	mic1	A	2562c6b297decad2	cosy	2	mic2	A	b95d2de7be48322e	B	b04a01617a9c889a	0.95408721335163404	0.95811064876252716
p229	primary_mic1_to_mic2	ecapa	f5	1	mic1	A	2562c6b297decad2	cosy	3	mic2	A	2c927d8c1e170d1e	B	b7202c491edba90a	0.65369320986283741	0.6140602798649395
p229	primary_mic1_to_mic2	wavlm	f5	1	mic1	A	2562c6b297decad2	cosy	3	mic2	A	2c927d8c1e170d1e	B	b7202c491edba90a	0.97018202130345033	0.96337559256158323
p229	primary_mic1_to_mic2	ecapa	f5	1	mic1	A	2562c6b297decad2	seedvc	0	mic2	A	d756b4a6f616edf6	B	b07e16abd8c093bb	0.56527995120343011	0.49136012334814938
p229	primary_mic1_to_mic2	wavlm	f5	1	mic1	A	2562c6b297decad2	seedvc	0	mic2	A	d756b4a6f616edf6	B	b07e16abd8c093bb	0.92276660300531355	0.92117098138407882
p229	primary_mic1_to_mic2	ecapa	f5	1	mic1	A	2562c6b297decad2	seedvc	2	mic2	A	2231bd1964b29cd8	B	ff750a1108f05305	0.53866770363028449	0.44664167149529516
p229	primary_mic1_to_mic2	wavlm	f5	1	mic1	A	2562c6b297decad2	seedvc	2	mic2	A	2231bd1964b29cd8	B	ff750a1108f05305	0.91037538819889952	0.89800017384974018
p229	primary_mic1_to_mic2	ecapa	f5	1	mic1	A	2562c6b297decad2	seedvc	3	mic2	A	d3c51799ff137c31	B	60c7701aaa1f6914	0.56025105145416965	0.48361505416292649
p229	primary_mic1_to_mic2	wavlm	f5	1	mic1	A	2562c6b297decad2	seedvc	3	mic2	A	d3c51799ff137c31	B	60c7701aaa1f6914	0.93827492193788675	0.88835791839206513
p229	primary_mic1_to_mic2	ecapa	f5	2	mic1	A	484b010be3fccec1	xtts	0	mic2	A	e11d8aa71e9655f4	B	3320a415edaff01d	0.25518370778092536	0.34414020744258206
p229	primary_mic1_to_mic2	wavlm	f5	2	mic1	A	484b010be3fccec1	xtts	0	mic2	A	e11d8aa71e9655f4	B	3320a415edaff01d	0.93385908089662384	0.91418870181014855
p229	primary_mic1_to_mic2	ecapa	f5	2	mic1	A	484b010be3fccec1	xtts	1	mic2	A	166915ebef4389f1	B	45e4808e13bf7c52	0.32443035564639966	0.35645952753854776
