speaker	system	text_index	prompt_mic	seed_arm	readout	clone_path	n_distractors	cos_own_event	cos_other_event	cos_distractor_1	cos_distractor_2	cos_distractor_3	cos_distractor_4	cos_distractor_5	cos_distractor_6	cos_distractor_7	cos_distractor_8	cos_distractor_9	cos_distractor_10	cos_distractor_11	cos_distractor_12	cos_distractor_13	cos_distractor_14	distractor_1	distractor_2	distractor_3	distractor_4	distractor_5	distractor_6	distractor_7	distractor_8	distractor_9	distractor_10	distractor_11	distractor_12	distractor_13	distractor_14
p229	f5	0	mic1	A	ecapa	runtime/clones/f5__mic1__seedA/p229_t0.wav	14	0.77314484211138113	0.6768807734908453	0.69742622547767108	0.72108446434052942	0.63724041807848653	0.59515786819668093	0.69025042988693475	0.68900130083273292	0.61410332422733394	0.70839875176427913	0.7043975270728362	0.62518745061443415	0.69956018706831236	0.70160163136658182	0.66532058452507714	0.58942391633960545	inputs/vctk/wav48_silence_trimmed/p229/p229_222_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_153_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_129_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_028_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_150_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_268_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_160_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_144_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_094_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_310_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_079_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_004_mic2.flac
p229	f5	0	mic1	A	wavlmsv	runtime/clones/f5__mic1__seedA/p229_t0.wav	14	0.97109562897638924	0.97013510116320201	0.96833919872064822	0.97730000470835865	0.97210558124499546	0.9689830679478284	0.97108397854193074	0.97920723295715906	0.9538432587492619	0.97481799519354384	0.97473905323263921	0.96565164840706352	0.97709176970221034	0.96793839739116372	0.9799548623119978	0.9394212992247174	inputs/vctk/wav48_silence_trimmed/p229/p229_222_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_153_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_129_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_028_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_150_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_268_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_160_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_144_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_094_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_310_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_079_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_004_mic2.flac
p229	f5	0	mic1	B	ecapa	runtime/clones/f5__mic1__seedB/p229_t0.wav	14	0.77914734800586249	0.63623272270633147	0.71516807879250355	0.69915939999824361	0.61588523838188158	0.64905647882243955	0.60584166457826782	0.68628722401086795	0.61519296682920233	0.64628112382022274	0.69254620243984377	0.63634875228024246	0.68423717751495317	0.62632790406558958	0.69655708787389581	0.62534923231277306	inputs/vctk/wav48_silence_trimmed/p229/p229_222_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_153_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_129_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_028_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_150_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_268_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_160_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_144_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_094_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_310_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_079_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_004_mic2.flac
p229	f5	0	mic1	B	wavlmsv	runtime/clones/f5__mic1__seedB/p229_t0.wav	14	0.96232057075431088	0.95363910564489873	0.96428179933556479	0.98040074275319222	0.96505141807659101	0.96800363381669174	0.97565236426971191	0.97679848162419158	0.94033910772211959	0.97168399154393525	0.95825724039061921	0.94795335866448338	0.96313492916857402	0.95273545943543736	0.98245591922477749	0.94135296518241485	inputs/vctk/wav48_silence_trimmed/p229/p229_222_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_153_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_129_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_028_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_150_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_268_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_160_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_144_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_094_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_310_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_079_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_004_mic2.flac
p229	f5	0	mic2	A	ecapa	runtime/clones/f5__mic2__seedA/p229_t0.wav	14	0.72478875373506668	0.55389194658766305	0.6192662580459587	0.64967042754227888	0.53308354931177349	0.52516817826263573	0.61356987208945157	0.58961205759841695	0.56629958909114964	0.60377682848059533	0.6582192995655336	0.55339197062965972	0.68485294501868832	0.61407687983351888	0.63173011229955733	0.55930531085080371	inputs/vctk/wav48_silence_trimmed/p229/p229_222_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_153_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_129_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_028_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_150_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_268_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_160_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_144_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_094_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_310_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_079_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_004_mic1.flac
p229	f5	0	mic2	A	wavlmsv	runtime/clones/f5__mic2__seedA/p229_t0.wav	14	0.96452445818495258	0.94072407831862792	0.96259702071704645	0.97012765142252888	0.96200370917586731	0.96078668214554663	0.93930006156912471	0.96810322899055534	0.92751069259355357	0.97616582296224708	0.95433990465439944	0.94898806858913387	0.96649076150571611	0.94931427840850635	0.96475546308388749	0.93144849889317882	inputs/vctk/wav48_silence_trimmed/p229/p229_222_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_153_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_129_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_028_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_150_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_268_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_160_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_144_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_094_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_310_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_079_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_004_mic1.flac
p229	f5	0	mic2	B	ecapa	runtime/clones/f5__mic2__seedB/p229_t0.wav	14	0.79108522165312578	0.68243228845644821	0.74369805211161788	0.7147278823524521	0.67563337594180695	0.66398493836744643	0.65540972619591908	0.68880614765463533	0.64378844572831717	0.66855256048652412	0.70937765998862867	0.61374526715850908	0.70708318940436798	0.68306407028976024	0.75756584547521133	0.67413795461658643	inputs/vctk/wav48_silence_trimmed/p229/p229_222_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_153_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_129_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_028_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_150_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_268_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_160_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_144_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_094_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_310_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_079_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_004_mic1.flac
p229	f5	0	mic2	B	wavlmsv	runtime/clones/f5__mic2__seedB/p229_t0.wav	14	0.92925653656228113	0.93193777776467668	0.94995652697003341	0.95804108596278104	0.9518784029155325	0.94933113764262067	0.96279056648622208	0.95448683780778665	0.90631916515998601	0.96147086716308761	0.92952985069058325	0.91554240789774521	0.9374381745748529	0.9188823297966745	0.94923771138856539	0.93522693658477452	inputs/vctk/wav48_silence_trimmed/p229/p229_222_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_153_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_129_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_028_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_150_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_268_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_160_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_144_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_094_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_310_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_079_mic1.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_004_mic1.flac
p229	f5	1	mic1	A	ecapa	runtime/clones/f5__mic1__seedA/p229_t1.wav	14	0.66456240911916997	0.65142966745078812	0.64046313189307946	0.65699171575873239	0.63800071447050044	0.56229320665351423	0.67439544847785804	0.60488133093614915	0.54115245575012183	0.63536522185782873	0.61148275185917944	0.57499330364912304	0.62976418490193364	0.66564465598379785	0.59967100325462996	0.55267434758075107	inputs/vctk/wav48_silence_trimmed/p229/p229_222_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_153_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_129_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_028_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_150_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_268_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_160_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_144_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_094_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_310_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_079_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_004_mic2.flac
p229	f5	1	mic1	A	wavlmsv	runtime/clones/f5__mic1__seedA/p229_t1.wav	14	0.92401898294838403	0.92614951765520204	0.92972406901927807	0.96337865418142532	0.95784723635314217	0.95669875095392065	0.97040852698914359	0.95455058028628093	0.93181108633990217	0.95284111792033666	0.93554491704208242	0.92557957061397389	0.95217554323588061	0.94385767374466722	0.97050071860817133	0.93826349222940564	inputs/vctk/wav48_silence_trimmed/p229/p229_222_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_153_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_179_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_129_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_028_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_120_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_150_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_268_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_160_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_144_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_094_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_310_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_079_mic2.flac	inputs/vctk/wav48_silence_trimmed/p229/p229_004_mic2.flac
