speaker	gen1_system	gen1_text_index	gen2_system	gen2_text_index	seed_arm	readout	clone_path	cos_own_event	cos_other_event
p229	f5	0	xtts	1	A	ecapa	exp210/clones/xtts__from_f5__seedA/p229_t1.wav	0.59680791944545786	0.64513341624867171
p229	f5	0	xtts	1	A	wavlmsv	exp210/clones/xtts__from_f5__seedA/p229_t1.wav	0.94065533693857595	0.95403651836965175
p229	f5	0	xtts	1	B	ecapa	exp210/clones/xtts__from_f5__seedB/p229_t1.wav	0.41004443677283042	0.26704003108483987
p229	f5	0	xtts	1	B	wavlmsv	exp210/clones/xtts__from_f5__seedB/p229_t1.wav	0.78590840501417114	0.79340638788582418
p229	f5	1	xtts	2	A	ecapa	exp210/clones/xtts__from_f5__seedA/p229_t2.wav	0.65844640619832873	0.61338279947874585
p229	f5	1	xtts	2	A	wavlmsv	exp210/clones/xtts__from_f5__seedA/p229_t2.wav	0.95632739154646618	0.95819285195496706
p229	f5	1	xtts	2	B	ecapa	exp210/clones/xtts__from_f5__seedB/p229_t2.wav	0.69064845176043477	0.5444819992860872
p229	f5	1	xtts	2	B	wavlmsv	exp210/clones/xtts__from_f5__seedB/p229_t2.wav	0.97510426049659182	0.95014053664969333
p229	f5	2	xtts	3	A	ecapa	exp210/clones/xtts__from_f5__seedA/p229_t3.wav	0.56207742112230374	0.53016732827951407
p229	f5	2	xtts	3	A	wavlmsv	exp210/clones/xtts__from_f5__seedA/p229_t3.wav	0.89381634200159521	0.90345351195944901
p229	f5	2	xtts	3	B	ecapa	exp210/clones/xtts__from_f5__seedB/p229_t3.wav	0.63055400033728204	0.44923693984671853
p229	f5	2	xtts	3	B	wavlmsv	exp210/clones/xtts__from_f5__seedB/p229_t3.wav	0.90378178351791993	0.89030444469918035
p229	f5	3	xtts	0	A	ecapa	exp210/clones/xtts__from_f5__seedA/p229_t0.wav	0.48618652809978941	0.48042121437972307
p229	f5	3	xtts	0	A	wavlmsv	exp210/clones/xtts__from_f5__seedA/p229_t0.wav	0.94729598604379539	0.94127387357290104
p229	f5	3	xtts	0	B	ecapa	exp210/clones/xtts__from_f5__seedB/p229_t0.wav	0.45934092336924048	0.32685053177566215
p229	f5	3	xtts	0	B	wavlmsv	exp210/clones/xtts__from_f5__seedB/p229_t0.wav	0.78155937763693106	0.80370764260782157
p229	xtts	0	cosy	1	A	ecapa	exp210/clones/cosy__from_xtts__seedA/p229_t1.wav	0.58242403329286174	0.57273529659235911
p229	xtts	0	cosy	1	A	wavlmsv	exp210/clones/cosy__from_xtts__seedA/p229_t1.wav	0.92057757155848985	0.94626928776966301
p229	xtts	0	cosy	1	B	ecapa	exp210/clones/cosy__from_xtts__seedB/p229_t1.wav	0.70698371368863522	0.53658989687879755
p229	xtts	0	cosy	1	B	wavlmsv	exp210/clones/cosy__from_xtts__seedB/p229_t1.wav	0.97289616451841066	0.95056713097058487
p229	xtts	1	cosy	2	A	ecapa	exp210/clones/cosy__from_xtts__seedA/p229_t2.wav	0.65122691042477698	0.63957524730812654
p229	xtts	1	cosy	2	A	wavlmsv	exp210/clones/cosy__from_xtts__seedA/p229_t2.wav	0.93650124539587498	0.96391868556599181
p229	xtts	1	cosy	2	B	ecapa	exp210/clones/cosy__from_xtts__seedB/p229_t2.wav	0.71495012768084942	0.54991990660666845
p229	xtts	1	cosy	2	B	wavlmsv	exp210/clones/cosy__from_xtts__seedB/p229_t2.wav	0.96288086948982321	0.95164742008811021
p229	xtts	2	cosy	3	A	ecapa	exp210/clones/cosy__from_xtts__seedA/p229_t3.wav	0.63737892705299426	0.54691928550513891
p229	xtts	2	cosy	3	A	wavlmsv	exp210/clones/cosy__from_xtts__seedA/p229_t3.wav	0.94950075955099578	0.94684762487894392
p229	xtts	2	cosy	3	B	ecapa	exp210/clones/cosy__from_xtts__seedB/p229_t3.wav	0.6835577949427023	0.55177988052975424
p229	xtts	2	cosy	3	B	wavlmsv	exp210/clones/cosy__from_xtts__seedB/p229_t3.wav	0.92676417604106265	0.91416231057549102
p229	xtts	3	cosy	0	A	ecapa	exp210/clones/cosy__from_xtts__seedA/p229_t0.wav	0.65233827530618416	0.67862572386261788
p229	xtts	3	cosy	0	A	wavlmsv	exp210/clones/cosy__from_xtts__seedA/p229_t0.wav	0.96405809762337102	0.97056371043301615
p229	xtts	3	cosy	0	B	ecapa	exp210/clones/cosy__from_xtts__seedB/p229_t0.wav	0.70707657995293216	0.54287177259101926
p229	xtts	3	cosy	0	B	wavlmsv	exp210/clones/cosy__from_xtts__seedB/p229_t0.wav	0.96737295881009755	0.96036267497002092
p229	cosy	0	seedvc	1	A	ecapa	exp210/clones/seedvc__from_cosy__seedA/p229_t1.wav	0.547186766407189	0.49680230299190292
p229	cosy	0	seedvc	1	A	wavlmsv	exp210/clones/seedvc__from_cosy__seedA/p229_t1.wav	0.73304870441047021	0.7251495907729143
p229	cosy	0	seedvc	1	B	ecapa	exp210/clones/seedvc__from_cosy__seedB/p229_t1.wav	0.63360304304431436	0.4348566292991265
p229	cosy	0	seedvc	1	B	wavlmsv	exp210/clones/seedvc__from_cosy__seedB/p229_t1.wav	0.7551626173842837	0.75536751736970154
